% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
6.75	7	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
7	7.25	1	1	1	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
7	7.25	1	2	2	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
7.25	7.5	1	1	1	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
7.25	7.5	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
7.5	7.75	1	1	1	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
7.5	7.75	1	2	2	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
7.75	8	1	1	1	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
7.75	8	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
8	8.25	1	1	1	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
8	8.25	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
8.25	8.5	1	1	1	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
8.25	8.5	1	2	2	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
8.5	8.75	1	1	1	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
8.5	8.75	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
8.75	9	1	1	1	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
8.75	9	1	2	2	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
9	9.25	1	1	1	3	111	159063	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
9	9.25	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
9.25	9.5	1	1	1	3	112	160496	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
9.25	9.5	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
9.5	9.75	1	1	1	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
9.5	9.75	1	2	2	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
9.75	10	1	1	1	3	111	159063	111	159063	0.003	0	0.003	0.003	1433	0	1433	1433	
9.75	10	1	2	2	3	112	160496	112	160496	0.003	0	0.003	0.003	1433	0	1433	1433	
