% time	cellId	IMSI	RNTI	rsrp	sinr
0.0212143	1	1	1	5.4396e-10	1.14677e+06
0.0212143	1	2	2	1.07682e-09	2.27013e+06
0.0222143	1	1	1	5.4396e-10	1.14677e+06
0.0222143	1	2	2	1.07682e-09	2.27013e+06
0.0232143	1	1	1	5.4396e-10	1.14677e+06
0.0232143	1	2	2	1.07682e-09	2.27013e+06
0.0242143	1	1	1	5.4396e-10	1.14677e+06
0.0242143	1	2	2	1.07682e-09	2.27013e+06
0.0252143	1	1	1	5.4396e-10	1.14677e+06
0.0252143	1	2	2	1.07682e-09	2.27013e+06
0.0262143	1	1	1	5.4396e-10	1.14677e+06
0.0262143	1	2	2	1.07682e-09	2.27013e+06
0.0272143	1	1	1	5.4396e-10	1.14677e+06
0.0272143	1	2	2	1.07682e-09	2.27013e+06
0.0282143	1	1	1	5.4396e-10	1.14677e+06
0.0282143	1	2	2	1.07682e-09	2.27013e+06
0.0292143	1	1	1	5.4396e-10	1.14677e+06
0.0292143	1	2	2	1.07682e-09	2.27013e+06
0.0302143	1	1	1	5.4396e-10	1.14677e+06
0.0302143	1	2	2	1.07682e-09	2.27013e+06
0.0312143	1	1	1	5.4396e-10	1.14677e+06
0.0312143	1	2	2	1.07682e-09	2.27013e+06
0.0322143	1	1	1	5.4396e-10	1.14677e+06
0.0322143	1	2	2	1.07682e-09	2.27013e+06
0.0332143	1	1	1	5.4396e-10	1.14677e+06
0.0332143	1	2	2	1.07682e-09	2.27013e+06
0.0342143	1	1	1	5.4396e-10	1.14677e+06
0.0342143	1	2	2	1.07682e-09	2.27013e+06
0.0352143	1	1	1	5.4396e-10	1.14677e+06
0.0352143	1	2	2	1.07682e-09	2.27013e+06
0.0362143	1	1	1	5.4396e-10	1.14677e+06
0.0362143	1	2	2	1.07682e-09	2.27013e+06
0.0372143	1	1	1	5.4396e-10	1.14677e+06
0.0372143	1	2	2	1.07682e-09	2.27013e+06
0.0382143	1	1	1	5.4396e-10	1.14677e+06
0.0382143	1	2	2	1.07682e-09	2.27013e+06
0.0392143	1	1	1	5.4396e-10	1.14677e+06
0.0392143	1	2	2	1.07682e-09	2.27013e+06
0.0402143	1	1	1	5.4396e-10	1.14677e+06
0.0402143	1	2	2	1.07682e-09	2.27013e+06
0.0412143	1	1	1	5.4396e-10	1.14677e+06
0.0412143	1	2	2	1.07682e-09	2.27013e+06
0.0422143	1	1	1	5.4396e-10	1.14677e+06
0.0422143	1	2	2	1.07682e-09	2.27013e+06
0.0432143	1	1	1	5.4396e-10	1.14677e+06
0.0432143	1	2	2	1.07682e-09	2.27013e+06
0.0442143	1	1	1	5.4396e-10	1.14677e+06
0.0442143	1	2	2	1.07682e-09	2.27013e+06
0.0452143	1	1	1	5.4396e-10	1.14677e+06
0.0452143	1	2	2	1.07682e-09	2.27013e+06
0.0462143	1	1	1	5.4396e-10	1.14677e+06
0.0462143	1	2	2	1.07682e-09	2.27013e+06
0.0472143	1	1	1	5.4396e-10	1.14677e+06
0.0472143	1	2	2	1.07682e-09	2.27013e+06
0.0482143	1	1	1	5.4396e-10	1.14677e+06
0.0482143	1	2	2	1.07682e-09	2.27013e+06
0.0492143	1	1	1	5.4396e-10	1.14677e+06
0.0492143	1	2	2	1.07682e-09	2.27013e+06
0.0502143	1	1	1	5.4396e-10	1.14677e+06
0.0502143	1	2	2	1.07682e-09	2.27013e+06
0.0512143	1	1	1	5.4396e-10	1.14677e+06
0.0512143	1	2	2	1.07682e-09	2.27013e+06
0.0522143	1	1	1	5.4396e-10	1.14677e+06
0.0522143	1	2	2	1.07682e-09	2.27013e+06
0.0532143	1	1	1	5.4396e-10	1.14677e+06
0.0532143	1	2	2	1.07682e-09	2.27013e+06
0.0542143	1	1	1	5.4396e-10	1.14677e+06
0.0542143	1	2	2	1.07682e-09	2.27013e+06
0.0552143	1	1	1	5.4396e-10	1.14677e+06
0.0552143	1	2	2	1.07682e-09	2.27013e+06
0.0562143	1	1	1	5.4396e-10	1.14677e+06
0.0562143	1	2	2	1.07682e-09	2.27013e+06
0.0572143	1	1	1	5.4396e-10	1.14677e+06
0.0572143	1	2	2	1.07682e-09	2.27013e+06
0.0582143	1	1	1	5.4396e-10	1.14677e+06
0.0582143	1	2	2	1.07682e-09	2.27013e+06
0.0592143	1	1	1	5.4396e-10	1.14677e+06
0.0592143	1	2	2	1.07682e-09	2.27013e+06
0.0602143	1	1	1	5.4396e-10	1.14677e+06
0.0602143	1	2	2	1.07682e-09	2.27013e+06
0.0612143	1	1	1	5.4396e-10	1.14677e+06
0.0612143	1	2	2	1.07682e-09	2.27013e+06
0.0622143	1	1	1	5.4396e-10	1.14677e+06
0.0622143	1	2	2	1.07682e-09	2.27013e+06
0.0632143	1	1	1	5.4396e-10	1.14677e+06
