0.407495	0	0
0.512	5.1588	2.5794
0.613	5.1588	3.4392
0.714	5.1588	3.8691
0.815	5.1588	4.12704
0.916	5.1588	4.299
1.016	5.1588	4.42183
1.117	5.1588	4.51395
1.218	5.1588	4.5856
1.319	5.1588	4.64292
1.42	5.1588	4.68982
1.52	5.1588	4.7289
1.621	5.1588	4.76197
1.722	5.1588	4.79031
1.823	5.1588	4.81488
1.924	5.1588	4.83637
2.024	5.1588	4.85534
2.125	5.1588	4.8722
2.226	5.1588	4.88728
2.327	5.1588	4.90086
2.428	5.1588	4.91314
2.528	5.1588	4.92431
2.629	5.1588	4.9345
2.73	5.1588	4.94385
2.831	5.1588	4.95245
2.932	5.1588	4.96038
3.032	5.1588	4.96773
3.133	5.1588	4.97456
3.234	5.1588	4.98091
3.335	5.1588	4.98684
3.436	5.1588	4.99239
3.536	5.1588	4.99759
3.637	5.1588	5.00247
3.738	5.1588	5.00707
3.839	5.1588	5.01141
3.94	5.1588	5.0155
4.04	5.1588	5.01937
4.141	5.1588	5.02304
4.242	5.1588	5.02652
4.343	5.1588	5.02983
4.444	5.1588	5.03298
4.544	5.1588	5.03597
4.645	5.1588	5.03883
4.746	5.1588	5.04155
4.847	5.1588	5.04416
4.948	5.1588	5.04665
5.048	5.1588	5.04904
5.149	5.1588	5.05133
5.25	5.1588	5.05352
5.351	5.1588	5.05562
5.452	5.1588	5.05765
5.552	5.1588	5.05959
5.653	5.1588	5.06146
5.754	5.1588	5.06327
5.855	5.1588	5.065
5.956	5.1588	5.06668
6.056	5.1588	5.06829
6.157	5.1588	5.06986
6.258	5.1588	5.07136
6.359	5.1588	5.07282
6.46	5.1588	5.07423
6.56	5.1588	5.07559
6.661	5.1588	5.07691
6.762	5.1588	5.07819
6.863	5.1588	5.07943
6.964	5.1588	5.08064
7.064	5.1588	5.0818
7.165	5.1588	5.08294
7.266	5.1588	5.08403
7.367	5.1588	5.0851
7.468	5.1588	5.08614
7.568	5.1588	5.08715
7.669	5.1588	5.08813
7.77	5.1588	5.08909
7.871	5.1588	5.09002
7.972	5.1588	5.09092
8.072	5.1588	5.0918
8.173	5.1588	5.09266
8.274	5.1588	5.0935
8.375	5.1588	5.09432
8.476	5.1588	5.09511
8.576	5.1588	5.09589
8.677	5.1588	5.09665
8.778	5.1588	5.09739
8.879	5.1588	5.09811
8.98	5.1588	5.09881
9.08	5.1588	5.0995
9.181	5.1588	5.10018
9.282	5.1588	5.10084
9.383	5.1588	5.10148
9.484	5.1588	5.10211
9.584	5.1588	5.10273
9.685	5.1588	5.10333
9.786	5.1588	5.10392
9.887	5.1588	5.1045
9.988	5.1588	5.10506
10.088	5.1588	5.10562
10.189	5.1588	5.10616
10.29	5.1588	5.10669
10.391	5.1588	5.10721
10.492	5.1588	5.10772
10.592	5.1588	5.10822
10.693	5.1588	5.10871
10.794	5.1588	5.1092
10.895	5.1588	5.10967
10.996	5.1588	5.11013
11.096	5.1588	5.11059
11.197	5.1588	5.11103
11.298	5.1588	5.11147
11.399	5.1588	5.1119
11.5	5.1588	5.11232
11.6	5.1588	5.11274
11.701	5.1588	5.11315
11.802	5.1588	5.11355
11.903	5.1588	5.11394
12.004	5.1588	5.11433
12.104	5.1588	5.11471
12.205	5.1588	5.11508
12.306	5.1588	5.11545
12.407	5.1588	5.11581
12.508	5.1588	5.11617
12.608	5.1588	5.11651
12.709	5.1588	5.11686
12.81	5.1588	5.1172
12.911	5.1588	5.11753
13.012	5.1588	5.11786
13.112	5.1588	5.11818
13.213	5.1588	5.1185
13.314	5.1588	5.11881
13.415	5.1588	5.11912
13.516	5.1588	5.11942
13.616	5.1588	5.11972
13.717	5.1588	5.12001
13.818	5.1588	5.1203
13.919	5.1588	5.12059
14.02	5.1588	5.12087
14.12	5.1588	5.12114
14.221	5.1588	5.12142
14.322	5.1588	5.12169
14.423	5.1588	5.12195
14.524	5.1588	5.12221
14.624	5.1588	5.12247
14.725	5.1588	5.12272
14.826	5.1588	5.12298
14.927	5.1588	5.12322
